ts_ns,side,price_e8,qty_e8,agg_trade_id
1704588364957000000,1,4415250000000,1100000,1973600383
1704588365039000000,-1,4415240000000,12600000,1973600384
1704588365056000000,1,4415250000000,1400000,1973600385
1704588365112000000,-1,4415240000000,90700000,1973600386
1704588365116000000,-1,4415230000000,52100000,1973600387
1704588365116000000,-1,4415210000000,300000,1973600388
1704588365123000000,-1,4415090000000,300000,1973600389
1704588365161000000,1,4414880000000,300000,1973600390
1704588365161000000,-1,4414870000000,600000,1973600391
1704588365169000000,1,4414880000000,800000,1973600392
1704588365309000000,-1,4414870000000,3300000,1973600393
1704588365367000000,1,4414870000000,4900000,1973600394
1704588365397000000,-1,4414860000000,100000,1973600395
1704588365397000000,-1,4414810000000,1500000,1973600396
1704588365397000000,-1,4414730000000,300000,1973600397
1704588365397000000,-1,4414700000000,3600000,1973600398
1704588365397000000,-1,4414640000000,3200000,1973600399
1704588365397000000,-1,4414550000000,300000,1973600400
1704588365397000000,-1,4414540000000,300000,1973600401
1704588365397000000,-1,4414520000000,700000,1973600402
1704588366018000000,1,4414520000000,1400000,1973600403
1704588366249000000,1,4414520000000,24100000,1973600404
1704588366249000000,1,4414530000000,300000,1973600405
1704588366249000000,1,4414620000000,1000000,1973600406
1704588366249000000,1,4414660000000,800000,1973600407
1704588366249000000,1,4414750000000,500000,1973600408
1704588366249000000,1,4414810000000,19500000,1973600409
1704588366544000000,-1,4414810000000,2000000,1973600410
1704588367132000000,-1,4414810000000,1000000,1973600411
1704588367154000000,1,4414820000000,7100000,1973600412
1704588367159000000,-1,4414820000000,500000,1973600413
1704588367300000000,1,4414830000000,3500000,1973600414
1704588367361000000,1,4414950000000,800000,1973600415
1704588367361000000,1,4415000000000,500000,1973600416
1704588367436000000,-1,4415140000000,11700000,1973600417
1704588367696000000,-1,4415140000000,8900000,1973600418
1704588367897000000,-1,4415140000000,500000,1973600419
1704588368249000000,1,4415150000000,9400000,1973600420
1704588368274000000,-1,4415140000000,1500000,1973600421
1704588368760000000,1,4415150000000,15100000,1973600422
1704588368907000000,-1,4415140000000,400000,1973600423
1704588369328000000,-1,4415140000000,1100000,1973600424
1704588369771000000,-1,4415140000000,2900000,1973600425
1704588370134000000,-1,4415140000000,300000,1973600426
1704588370516000000,1,4415150000000,300000,1973600427
1704588370733000000,-1,4415140000000,11300000,1973600428
1704588370842000000,1,4415150000000,1000000,1973600429
1704588371042000000,1,4415150000000,1200000,1973600430
1704588371297000000,-1,4415140000000,2000000,1973600431
